event_id,event_type,timestamp,customer_id,customer_segment,amount,currency,payment_method,decline_reason_code,country,region,is_cross_border,merchant_id,merchant_type,previous_recovery_attempts,merchant_country,customer_timezone,customer_language,checkout_session_id,subscription_id,invoice_id,invoice_due_date,days_overdue,attempted_payment_method,original_payment_method,customer_lifetime_value,customer_previous_success_rate,customer_previous_recovery_count,risk_signal,checkout_stage,amount_in_inr
EVT-0001,overdue_invoice,2026-08-25T03:22:39.514263Z,CUS-0057,retail,161.8,SGD,international_card,customer_dispute,SG,Central Region,True,MER-010,education,2,IN,Asia/Singapore,en-SG,,,inv_464069,2026-07-21,35,international_card,international_card,28193,0.86,3,low,,9999.24
EVT-0002,failed_payment,2026-08-20T13:49:37.785139Z,CUS-0037,retail,2499.0,INR,wallet,network_error,IN,Maharashtra,False,MER-002,SaaS,1,IN,Asia/Kolkata,en-IN,,,,,,wallet,wallet,33894,0.98,1,low,,2499.0
EVT-0003,failed_subscription,2026-08-24T16:58:10.782012Z,CUS-0010,retail,7500.0,INR,wallet,insufficient_funds,IN,Tamil Nadu,False,MER-007,SaaS,3,IN,Asia/Kolkata,en-IN,,sub_841666,,,,wallet,wallet,18043,0.84,6,low,,7500.0
EVT-0004,failed_subscription,2026-08-23T09:52:29.688734Z,CUS-0020,SMB,18750.0,INR,bank_transfer,card_expired,IN,Maharashtra,False,MER-009,marketplace,3,IN,Asia/Kolkata,en-IN,,sub_912270,,,,bank_transfer,bank_transfer,199637,0.92,1,low,,18750.0
EVT-0005,abandoned_checkout,2026-08-21T16:05:30.678266Z,CUS-0042,retail,9999.0,INR,upi,price_shock,IN,Gujarat,False,MER-010,education,0,IN,Asia/Kolkata,en-IN,sess_392477,,,,,upi,upi,27938,0.68,2,low,review,9999.0
EVT-0006,overdue_invoice,2026-08-22T02:20:43.939405Z,CUS-0044,enterprise,16740.09,AED,international_card,invoice_unpaid,AE,Abu Dhabi,True,MER-010,education,1,IN,Asia/Dubai,en-AE,,,inv_992288,2026-08-04,18,international_card,international_card,588531,0.91,3,low,,380000.04
EVT-0007,failed_payment,2026-08-22T02:47:24.797432Z,CUS-0048,enterprise,115000.0,INR,bank_transfer,risk_flagged,IN,Tamil Nadu,False,MER-004,education,0,IN,Asia/Kolkata,en-IN,,,,,,bank_transfer,bank_transfer,513066,0.56,4,high,,115000.0
EVT-0008,failed_payment,2026-08-20T22:03:25.711592Z,CUS-0023,retail,11.77,GBP,bank_transfer,issuer_declined,GB,Scotland,True,MER-009,marketplace,0,IN,Europe/London,en-GB,,,,,,bank_transfer,bank_transfer,33148,0.5,0,low,,1248.8
EVT-0009,overdue_invoice,2026-08-22T14:57:14.721096Z,CUS-0017,retail,47.89,USD,international_card,invoice_unpaid,US,New York,True,MER-008,ecommerce,1,IN,America/New_York,en-US,,,inv_197573,2026-08-04,18,international_card,international_card,2752,0.46,0,low,,3998.82
EVT-0010,overdue_invoice,2026-08-22T06:01:31.824604Z,CUS-0040,retail,5800.0,INR,bank_transfer,customer_dispute,IN,Telangana,False,MER-004,education,0,IN,Asia/Kolkata,en-IN,,,inv_656711,2026-08-04,18,bank_transfer,bank_transfer,18135,0.23,0,low,,5800.0
